Pos,StartNr,Naam,Team,1_Swim,1_T1,1_Bike,1_T2,1_Run,Mix1,2_Run,2_T1,2_Bike,2_T2,2_Swim,Mix2,3_Bike,3_T1,3_Swim,3_T2,3_Run,Mix3,Totaal,Divisie
33,65,Tijmen Kooij,Metaglas / TZC Vahalis - Tiel,03:05,59.1,07:18,41.4,06:06,18:09,06:06,48.9,07:23,42.1,03:02,18:01,08:31,43.3,03:07,01:20,06:23,20:04,01:16:23,1e divisie
34,35,Rob Barel,Innovative Group / VZC - Veenendaal,02:55,01:05,07:19,44.4,06:25,18:26,06:14,55.2,07:33,41.1,02:51,18:13,08:45,NA,NA,01:26,06:33,20:14,01:16:41,1e divisie
35,19,Gert Brinkman,De Dolfijn 2 - Amsterdam,03:02,01:06,07:20,57.1,06:22,18:46,06:07,46.1,07:30,42,03:04,18:08,08:14,41.7,03:13,01:19,06:28,19:55,01:16:52,1e divisie
36,25,Loïc Mignon,Ferro Mosae - Maastricht,02:56,57.1,07:30,50,06:10,18:22,06:02,48.6,07:23,40.9,03:06,17:59,08:25,50.4,04:13,01:16,05:50,20:34,01:17:00,1e divisie
37,10,Jeroen Gijzen,Hellas 2 - Utrecht,03:07,01:03,07:10,46.3,06:05,18:10,06:08,52.5,07:16,46.1,03:35,18:37,08:17,45,03:39,01:24,06:07,20:12,01:17:06,1e divisie
38,18,Rick Marsman,De Dolfijn 2 - Amsterdam,03:04,01:06,07:19,46,06:28,18:41,06:33,52.1,07:35,49.7,03:12,19:02,08:15,36.9,03:10,01:21,06:08,19:30,01:17:17,1e divisie
39,24,Colin Fleming,EDO Sports 2 - Maastricht,02:54,48.1,07:25,55.6,06:12,18:14,06:07,50,07:27,46.9,02:53,18:03,08:30,53.4,03:17,01:33,06:51,21:03,01:17:25,1e divisie
40,70,Machiel Ittmann,Triathlon Soest,03:23,56.1,07:42,43.8,06:19,19:03,06:09,48.7,07:45,46.6,03:06,18:34,08:24,42.2,03:11,01:20,06:16,19:52,01:17:31,1e divisie
41,43,Andy Koolmees,TTB - Bodegraven,02:52,01:02,07:36,41.3,06:22,18:31,06:19,50.7,08:02,43.2,03:02,18:56,08:32,44.6,03:08,01:27,06:13,20:03,01:17:33,1e divisie
42,7,Bas de Waal,TVA - Almere,02:38,46.9,07:30,49.6,07:08,18:52,06:25,54.5,07:37,47.5,02:49,18:32,08:37,45.7,02:53,01:21,06:34,20:10,01:17:37,1e divisie
